#         t           x           y           z          vx          vy          vz
       0.000     -98.560    -119.990    -127.760     -28.430     173.920      93.230
       0.100    -101.060    -102.180    -117.990     -21.560     182.283     102.167
       0.200    -102.872     -83.533    -107.327     -14.691     190.647     111.103
       0.300    -103.998     -64.051     -95.770      -7.821     199.010     120.040
       0.400    -104.436     -43.731     -83.319      -0.951     207.373     128.976
       0.500    -104.188     -22.576     -69.974       5.918     215.737     137.913
       0.600    -103.253      -0.584     -55.736      12.788     224.100     146.849
       0.700    -101.630      22.244     -40.604      19.658     232.463     155.786
       0.800     -99.321      45.909     -24.579      26.527     240.827     164.722
       0.900     -96.325      70.409      -7.660      33.397     249.190     173.659
       1.000     -92.642      95.747      10.153      40.267     257.553     182.596
       1.100     -88.272     121.920      28.859      47.136     265.917     191.532
       1.200     -83.214     148.930      48.459      54.006     274.280     200.469
       1.300     -77.470     176.776      68.953      60.876     282.643     209.405
       1.400     -71.039     205.459      90.340      67.745     291.007     218.342
       1.500     -63.921     234.977     112.621      74.615     299.370     227.278
       1.600     -56.116     265.333     135.796      81.484     307.733     236.215
       1.700     -47.624     296.524     159.864      88.354     316.097     245.151
       1.800     -38.446     328.552     184.826      95.224     324.460     254.088
       1.900     -28.580     361.416     210.682     102.093     332.823     263.025
       2.000     -18.027     395.117     237.431     108.963     341.187     271.961
       2.100      -6.787     429.653     265.074     115.833     349.550     280.898
       2.200       5.140     465.027     293.611     122.702     357.913     289.834
       2.300      17.753     501.236     323.041     129.572     366.277     298.771
       2.400      31.054     538.282     353.365     136.442     374.640     307.707
       2.500      45.042     576.164     384.582     143.311     383.003     316.644
       2.600      59.716     614.883     416.694     150.181     391.367     325.580
       2.700      75.078     654.437     449.698     157.051     399.730     334.517
       2.800      91.126     694.829     483.597     163.920     408.093     343.454
       2.900     107.862     736.056     518.389     170.790     416.457     352.390
       3.000     125.284     778.120     554.075     177.660     424.820     361.327
       3.100     143.394     821.020     590.654     184.529     433.183     370.263
       3.200     162.190     864.757     628.128     191.399     441.547     379.200
       3.300     181.674     909.329     666.494     198.269     449.910     388.136
       3.400     201.844     954.739     705.755     205.138     458.273     397.073
       3.500     222.701    1000.984     745.909     212.008     466.637     406.009
       3.600     244.246    1048.066     786.957     218.878     475.000     414.946
       3.700     266.477    1095.984     828.898     225.747     483.363     423.883
       3.800     289.395    1144.738     871.733     232.617     491.727     432.819
       3.900     313.000    1194.329     915.462     239.487     500.090     441.756
       4.000     337.292    1244.756     960.084     246.356     508.453     450.692
       4.100     362.271    1296.020    1005.600     253.226     516.817     459.629
       4.200     387.938    1348.120    1052.010     260.096     525.180     468.565
       4.300     414.291    1401.056    1099.313     266.965     533.543     477.502
       4.400     441.331    1454.828    1147.510     273.835     541.907     486.438
       4.500     469.058    1509.437    1196.601     280.704     550.270     495.375
       4.600     497.471    1564.882    1246.585     287.574     558.633     504.311
