#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.001    -98.628   -119.816   -127.687    -28.361    174.000     93.318
      0.002    -98.657   -119.642   -127.593    -28.291    174.080     93.405
      0.003    -98.685   -119.468   -127.500    -28.222    174.161     93.493
      0.004    -98.713   -119.294   -127.406    -28.152    174.241     93.581
      0.005    -98.741   -119.119   -127.313    -28.082    174.321     93.669
      0.006    -98.769   -118.945   -127.219    -28.012    174.402     93.757
      0.007    -98.797   -118.771   -127.125    -27.942    174.482     93.845
      0.008    -98.825   -118.596   -127.031    -27.871    174.563     93.933
      0.009    -98.853   -118.421   -126.937    -27.801    174.643     94.022
      0.010    -98.881   -118.247   -126.843    -27.730    174.724     94.110
      0.011    -98.909   -118.072   -126.749    -27.660    174.804     94.199
      0.012    -98.936   -117.897   -126.655    -27.589    174.885     94.287
      0.013    -98.964   -117.722   -126.561    -27.517    174.965     94.376
      0.014    -98.991   -117.547   -126.466    -27.446    175.046     94.465
      0.015    -99.019   -117.372   -126.372    -27.375    175.127     94.554
      0.016    -99.046   -117.197   -126.277    -27.303    175.207     94.643
      0.017    -99.073   -117.022   -126.182    -27.231    175.288     94.732
      0.018    -99.100   -116.846   -126.088    -27.160    175.369     94.822
      0.019    -99.128   -116.671   -125.993    -27.087    175.450     94.911
      0.020    -99.155   -116.496   -125.898    -27.015    175.531     95.001
      0.021    -99.182   -116.320   -125.803    -26.943    175.611     95.090
      0.022    -99.208   -116.144   -125.708    -26.870    175.692     95.180
      0.023    -99.235   -115.969   -125.612    -26.798    175.773     95.270
      0.024    -99.262   -115.793   -125.517    -26.725    175.854     95.360
      0.025    -99.289   -115.617   -125.422    -26.652    175.935     95.450
      0.026    -99.315   -115.441   -125.326    -26.579    176.017     95.540
      0.027    -99.342   -115.265   -125.231    -26.505    176.098     95.630
      0.028    -99.368   -115.089   -125.135    -26.432    176.179     95.721
      0.029    -99.395   -114.912   -125.039    -26.358    176.260     95.811
      0.030    -99.421   -114.736   -124.943    -26.284    176.341     95.902
      0.031    -99.447   -114.560   -124.847    -26.210    176.422     95.993
      0.032    -99.473   -114.383   -124.751    -26.136    176.504     96.084
      0.033    -99.500   -114.207   -124.655    -26.062    176.585     96.174
      0.034    -99.526   -114.030   -124.559    -25.988    176.666     96.266
      0.035    -99.552   -113.853   -124.463    -25.913    176.748     96.357
      0.036    -99.577   -113.677   -124.366    -25.838    176.829     96.448
      0.037    -99.603   -113.500   -124.270    -25.763    176.911     96.539
      0.038    -99.629   -113.323   -124.173    -25.688    176.992     96.631
      0.039    -99.655   -113.146   -124.076    -25.613    177.074     96.722
      0.040    -99.680   -112.969   -123.980    -25.537    177.155     96.814
      0.041    -99.706   -112.791   -123.883    -25.462    177.237     96.906
      0.042    -99.731   -112.614   -123.786    -25.386    177.318     96.998
      0.043    -99.756   -112.437   -123.689    -25.310    177.400     97.090
      0.044    -99.782   -112.259   -123.592    -25.234    177.482     97.182
      0.045    -99.807   -112.082   -123.494    -25.158    177.564     97.275
      0.046    -99.832   -111.904   -123.397    -25.081    177.645     97.367
      0.047    -99.857   -111.727   -123.300    -25.004    177.727     97.459
      0.048    -99.882   -111.549   -123.202    -24.928    177.809     97.552
      0.049    -99.907   -111.371   -123.105    -24.851    177.891     97.645
      0.050    -99.932   -111.193   -123.007    -24.774    177.973     97.738
      0.051    -99.956   -111.015   -122.909    -24.696    178.055     97.831
      0.052    -99.981   -110.837   -122.811    -24.619    178.137     97.924
      0.053   -100.006   -110.659   -122.713    -24.541    178.219     98.017
      0.054   -100.030   -110.480   -122.615    -24.463    178.301     98.110
      0.055   -100.055   -110.302   -122.517    -24.385    178.383     98.204
      0.056   -100.079   -110.124   -122.419    -24.307    178.465     98.297
      0.057   -100.103   -109.945   -122.320    -24.229    178.547     98.391
      0.058   -100.127   -109.767   -122.222    -24.150    178.629     98.484
      0.059   -100.152   -109.588   -122.124    -24.072    178.711     98.578
      0.060   -100.176   -109.409   -122.025    -23.993    178.793     98.672
      0.061   -100.200   -109.230   -121.926    -23.914    178.876     98.766
      0.062   -100.223   -109.051   -121.827    -23.834    178.958     98.861
      0.063   -100.247   -108.872   -121.728    -23.755    179.040     98.955
      0.064   -100.271   -108.693   -121.629    -23.675    179.123     99.049
      0.065   -100.295   -108.514   -121.530    -23.596    179.205     99.144
      0.066   -100.318   -108.335   -121.431    -23.516    179.287     99.239
      0.067   -100.342   -108.156   -121.332    -23.436    179.370     99.334
      0.068   -100.365   -107.976   -121.233    -23.355    179.452     99.428
      0.069   -100.388   -107.797   -121.133    -23.275    179.535     99.523
      0.070   -100.412   -107.617   -121.033    -23.194    179.617     99.619
      0.071   -100.435   -107.438   -120.934    -23.113    179.700     99.714
      0.072   -100.458   -107.258   -120.834    -23.032    179.782     99.809
      0.073   -100.481   -107.078   -120.734    -22.951    179.865     99.905
      0.074   -100.504   -106.898   -120.634    -22.870    179.948    100.000
      0.075   -100.527   -106.718   -120.534    -22.788    180.030    100.096
      0.076   -100.549   -106.538   -120.434    -22.706    180.113    100.192
      0.077   -100.572   -106.358   -120.334    -22.624    180.196    100.288
      0.078   -100.595   -106.178   -120.233    -22.542    180.279    100.384
      0.079   -100.617   -105.997   -120.133    -22.460    180.361    100.480
      0.080   -100.639   -105.817   -120.032    -22.377    180.444    100.577
      0.081   -100.662   -105.636   -119.932    -22.295    180.527    100.673
      0.082   -100.684   -105.456   -119.831    -22.212    180.610    100.770
      0.083   -100.706   -105.275   -119.730    -22.129    180.693    100.866
      0.084   -100.728   -105.094   -119.629    -22.045    180.776    100.963
      0.085   -100.750   -104.914   -119.528    -21.962    180.859    101.060
      0.086   -100.772   -104.733   -119.427    -21.878    180.942    101.157
      0.087   -100.794   -104.552   -119.326    -21.795    181.025    101.254
      0.088   -100.816   -104.371   -119.225    -21.710    181.108    101.352
      0.089   -100.837   -104.190   -119.123    -21.626    181.191    101.449
      0.090   -100.859   -104.008   -119.022    -21.542    181.274    101.547
      0.091   -100.881   -103.827   -118.920    -21.457    181.357    101.644
      0.092   -100.902   -103.646   -118.819    -21.373    181.440    101.742
      0.093   -100.923   -103.464   -118.717    -21.288    181.524    101.840
      0.094   -100.945   -103.283   -118.615    -21.202    181.607    101.938
      0.095   -100.966   -103.101   -118.513    -21.117    181.690    102.036
      0.096   -100.987   -102.919   -118.411    -21.031    181.773    102.134
      0.097   -101.008   -102.737   -118.309    -20.946    181.857    102.233
      0.098   -101.029   -102.555   -118.206    -20.860    181.940    102.331
      0.099   -101.049   -102.373   -118.104    -20.774    182.023    102.430
      0.100   -101.070   -102.191   -118.002    -20.687    182.107    102.529
      0.101   -101.091   -102.009   -117.899    -20.601    182.190    102.628
      0.102   -101.111   -101.827   -117.796    -20.514    182.274    102.727
      0.103   -101.132   -101.645   -117.693    -20.427    182.357    102.826
      0.104   -101.152   -101.462   -117.591    -20.340    182.441    102.925
      0.105   -101.173   -101.280   -117.488    -20.253    182.524    103.024
      0.106   -101.193   -101.097   -117.385    -20.165    182.608    103.124
      0.107   -101.213   -100.915   -117.281    -20.077    182.691    103.224
      0.108   -101.233   -100.732   -117.178    -19.989    182.775    103.323
      0.109   -101.253   -100.549   -117.075    -19.901    182.858    103.423
      0.110   -101.273   -100.366   -116.971    -19.813    182.942    103.523
      0.111   -101.292   -100.183   -116.868    -19.724    183.026    103.623
      0.112   -101.312   -100.000   -116.764    -19.636    183.109    103.724
      0.113   -101.332    -99.817   -116.660    -19.547    183.193    103.824
      0.114   -101.351    -99.634   -116.556    -19.457    183.277    103.925
      0.115   -101.371    -99.450   -116.452    -19.368    183.361    104.025
      0.116   -101.390    -99.267   -116.348    -19.279    183.445    104.126
      0.117   -101.409    -99.083   -116.244    -19.189    183.528    104.227
      0.118   -101.428    -98.900   -116.140    -19.099    183.612    104.328
      0.119   -101.447    -98.716   -116.035    -19.009    183.696    104.429
      0.120   -101.466    -98.533   -115.931    -18.918    183.780    104.530
      0.121   -101.485    -98.349   -115.826    -18.828    183.864    104.632
      0.122   -101.504    -98.165   -115.722    -18.737    183.948    104.733
      0.123   -101.523    -97.981   -115.617    -18.646    184.032    104.835
      0.124   -101.541    -97.797   -115.512    -18.554    184.116    104.937
      0.125   -101.560    -97.613   -115.407    -18.463    184.200    105.039
      0.126   -101.578    -97.428   -115.302    -18.371    184.284    105.141
      0.127   -101.597    -97.244   -115.197    -18.279    184.368    105.243
      0.128   -101.615    -97.060   -115.092    -18.187    184.452    105.345
      0.129   -101.633    -96.875   -114.986    -18.095    184.536    105.448
      0.130   -101.651    -96.691   -114.881    -18.003    184.620    105.550
      0.131   -101.669    -96.506   -114.775    -17.910    184.704    105.653
      0.132   -101.687    -96.321   -114.669    -17.817    184.789    105.756
      0.133   -101.705    -96.136   -114.564    -17.724    184.873    105.859
      0.134   -101.722    -95.951   -114.458    -17.630    184.957    105.962
      0.135   -101.740    -95.766   -114.352    -17.537    185.041    106.065
      0.136   -101.757    -95.581   -114.245    -17.443    185.125    106.168
      0.137   -101.775    -95.396   -114.139    -17.349    185.210    106.272
      0.138   -101.792    -95.211   -114.033    -17.255    185.294    106.376
      0.139   -101.809    -95.026   -113.926    -17.160    185.378    106.479
      0.140   -101.826    -94.840   -113.820    -17.065    185.463    106.583
      0.141   -101.843    -94.655   -113.713    -16.970    185.547    106.687
